special_waste_e_waste_tons_year,special_waste_hazardous_waste_tons_year
NA,NA
20000,NA
92000,NA
20000,5714.82
NA,1788
134000,57525
291700,310044
14000,62270
NA,NA
1100,NA
574000,7000000
166174,1272288
63000,296979.4
5000,NA
603575,2946195
8200,NA
11000,7871
142000,114358
53785,12206169
20000,31000
4900,NA
1409,8408
72000,1336926
2300,NA
NA,525
35392,545183
1411900,NA
3800,9410.337
7700,NA
1457.5,NA
16000,NA
2700,NA
724000,NA
184000,1200000
NA,NA
176000,249755
7211000,34652400
22000,NA
19000,8716.6
NA,NA
NA,NA
252200,270146.3
600,NA
2400,3548.92
35800,NA
NA,565216
NA,NA
NA,NA
18137,173377
79581,1162342
2465085,21812660
900,NA
NA,627
168614,1718394
57000,NA
252000,330000
73000,193812
497000,380000
3800,NA
1202597,2984518
34312,10410321
49000,NA
212954,1998693
4600,NA
2218682,10783405
NA,NA
200,NA
14000,NA
3584126,5755258
21000,NA
39000,NA
201.44,58995.04
8000,NA
2200,NA
1000,NA
NA,NA
188460,221041
800,NA
NA,730
55000,10051
NA,NA
5000,741.78
70000,54812
1700,253.14
58078,130326
6000,NA
50066,596554
1274000,23000000
NA,NA
1700000,7467000
212874,482907
630000,8000000
221000,20622
7600,7000
120000,321000
2800026,8923548
17000,10000
43000,1230441
518978,3600000
147000,NA
17350,NA
7200,4771346
14000,NA
100,NA
700,NA
570635,NA
67000,203000
7500,5200
51000,46000
NA,NA
70000,NA
1600,2732
293,1204
72.5,NA
1800,NA
82691,165477
7398,237180
25071,104142
11000,3118
NA,NA
30300,289385
NA,312.07
6300,418
14000,45957
3003.95,15105.525
957900,18172.49
NA,NA
1220,40797
12000,NA
7643,36523
55000,NA
6200,3819.21
14000,NA
NA,NA
17000,NA
5100,NA
11000,17000
9500,NA
280000,2918478
14000,NA
NA,NA
7900,554000
277000,NA
10800,2837
534410,4830495
150000,1482000
23000,5051
NA,NA
95000,NA
59000,1469835
301000,1538000
3200,NA
182000,660180.17927
290000,4332222.32
200,NA
7000,NA
224452,1679051
946.44,4.92
170078,701228
34200,NA
NA,62621
NA,NA
29000,105000
132268,590300
1392000,110000000
5900,NA
508000,697000
51000,NA
15000,NA
100000,446870
400,NA
3400,NA
30100,16465
NA,NA
NA,NA
14388,13475026
NA,NA
200,NA
5000,NA
30911,375688
26359,155229
721671,2568154
5700,NA
NA,NA
1100,NA
NA,68000
NA,NA
8800,NA
6400,1900
384233,3445000
NA,NA
22000,1000
3600,NA
300,NA
71.07,123914.1
90000,150000
623000,3432426
10,NA
14036,NA
38000,NA
25000,NA
277000,448000000
37000,NA
2440000,28800000
NA,NA
900,NA
232700,123157
NA,NA
NA,NA
141000,2995153.5
300,NA
500,NA
23,495
42000,21000
321000,1319096
15000,80000
13000,37346
