"population","msw_yearly"
"103187","88132.0167"
"34656032","5628525.37"
"25096150","4213643.585"
"2854191","1087446.75"
"82431","43000"
"9770529","5617682"
"42981516","17910550"
"2906220","492800"
"55599","18989.49"
"96777","30585"
"23789338","13345000"
"8877067","5219715.5"
"9649341","2930349"
"6741569","1872016"
"11484055","4765883"
"5521763","685936.01"
"18110624","2575251.11"
"155727056","14778497.33"
"7025037","2859190"
"1425171","951942.96945"
"386838","264000"
"3535961","1248718"
"9489616","4280000"
"359288","101378.8303"
"64798","82000"
"10724705","2219052"
"208494896","79069584"
"280601","174815.44444444"
"423196","216253.156"
"686958","111314.05"
"2014866","210854.44261892"
"4515392","1105983"
"35544564","25103034"
"8574832","6079556"
"164541","178933"
"16829442","6517000"
"1400050048","395081376"
"20401332","4440814.27"
"21655716","3270616.59"
"78736152","14385226.02"
"2648507","451200"
"46406648","12150120"
"777424","91013"
"513979","132555"
"4757575","1460000"
"11303687","2692691.98"
"153822","24703.8132"
"59172","60000"
"1198575","769485.125"
"10669709","5334854.5"
"83132800","50627876"
"746221","114997.24900398"
"72400","13176"
"5818553","4910858.5"
"10528394","4063910"
"40606052","12378740"
"16144368","5297211.1425339"
"87813256","21000000"
"4474690","726957.37"
"47076780","22408548"
"1326590","489511.71875"
"99873032","6532786.97"
"5520314","3124497.75"
"867086","189389.594"
"67059888","36748820"
"48842","61000"
"104937","26039.57"
"1086137","238102.31"
"66460344","30771140"
"3717100","800000"
"21542008","3538274.97825"
"33623","16954"
"8132552","596911"
"1311349","193440.54"
"1770526","289514"
"1221490","198443.06"
"10716322","5615352.5"
"105481","29536.113936928"
"56905","50000"
"16252429","2756740.97135"
"159973","141500"
"746556","179251.5"
"7305700","5679816.465"
"9112867","2162027.69575"
"4067500","1810037.5"
"10847334","2309852.45485"
"9769949","3780970.25"
"261115456","65200000"
"80759","50551"
"1352617344","189750000"
"4867316","2910655"
"80277424","17885000"
"36115648","13140000"
"343400","225270.40625"
"8380100","5400000"
"60297396","30088400"
"2881355","1051694.575"
"8413464","2529997"
"126529104","42720000"
"16791424","4659740"
"41350152","5595099"
"5956900","1113300"
"15270790","1089000"
"114395","35723.8275"
"54288","32892.14"
"51606632","20452776"
"2998083","1750000"
"6663967","351900"
"5603279","2040000"
"3512932","564466.7"
"6193501","2147596.47175"
"177206","77616.228"
"36545","32382"
"21203000","2631650"
"1965662","73457"
"2786844","1315390.375"
"619896","490337.75"
"1912789","839714.375"
"612167","377942"
"30959","15479.5"
"34318080","6852000"
"37783","46000"
"3554108","3981200"
"24894552","3768759.16"
"409163","211505.78"
"125890952","53100000"
"52793","8614"
"2082958","626970.375"
"16006670","1937354.44"
"502653","348841.1875"
"46095464","4677306.52914"
"622227","329780.3125"
"3027398","2900000"
"54036","32761.4145"
"27212382","2500000"
"3506288","454000"
"1263473","438000"
"16577147","1297844.48"
"30228016","12982685"
"1559983","256729"
"278000","108157.384"
"8842415","1865645.67"
"154402176","27614830.07185"
"5737723","1528816.29335"
"17332850","8805088"
"5347896","4149967.25"
"28982772","1768977.49"
"13049","6191.7505"
"4692700","3405000"
"3960925","1734885.15"
"193203472","30760000"
"3969249","1472262.21515"
"30973354","8356711.13"
"103320224","14631922.9"
"21503","9426.7455"
"7755785","1000000"
"37970872","12758213"
"3473181","4170953"
"10269417","5268211"
"6639119","1818501.3648"
"4046901","1387000"
"273528","147000"
"2109568","1000990.016"
"19356544","5419832.5"
"143201680","60000000"
"11917508","4384969"
"31557144","16125700.584"
"38647804","2831291"
"15411614","2454059.25"
"5703600","1870000"
"563513","179971.964375"
"5439695","610222.09"
"6164626","1648996.18"
"33203","17174.68"
"14317996","2326099.17"
"6944975","2347401.5"
"11177490","2680681"
"191266","25586.5"
"526103","78619.79915"
"5454073","2296164.75"
"2087946","1052324.75"
"10285453","4618168.5"
"1343098","218199.47"
"37685","NA"
"88303","48000"
"20824892","4500000"
"34900","NA"
"11887202","1358850.53"
"7228915","1109030.45"
"68657600","26853366"
"8177809","1787400"
"5366277","500000"
"1268671","63875"
"104951","17238.20175"
"1328100","727874"
"11143908","2700000"
"83429616","35374156"
"11097","3989.4865"
"23434000","7336000"
"49082996","9276995"
"35093648","7045049.836"
"45004644","15242025"
"3431552","1260139.50865"
"326687488","265224528"
"29774500","4000000"
"109455","31561.34925"
"29893080","9779093.14"
"20645","21099.19"
"105784","146500"
"86932496","9570300"
"270402","70225.489"
"187665","27399.09"
"1801800","319000"
"27584212","4836820"
"51729344","18457232"
"14264756","2608268"
"12500525","1449752"
